,age,avg_glucose_level,bmi,stroke
age,1.0,0.2381711141017428,0.3333979951604398,0.24525734617097422
avg_glucose_level,0.2381711141017428,1.0,0.17550217613626057,0.13194544082570953
bmi,0.3333979951604398,0.17550217613626057,1.0,0.04237366114923311
stroke,0.24525734617097422,0.13194544082570953,0.04237366114923311,1.0
